sentence_index sentence
4356 "A child is playing with a water spout outdoors while the rest of his family watches ."
4357 "A man in an orange shirt is helping a boy squirt water from a hose into a pond whilst a woman and boy watch ."
4358 "A smiling family congregate around a water spout in a pasture ."
4359 "A young child plays with a hose in a field with another child , and two adults ."
4360 "A lone hiker is sitting on a rock on a snowy mountain trail ."
4361 "A man descends a snowy mountain ."
4362 "A person is climbing a snowy mountain ."
4363 "Someone hiking in the mountains ."
4364 "The person is in the snowy mountains ."
4365 "A grey dog is jumping toward a black and white dog in the snow ."
4366 "Two dogs playing on the beach ."
4367 "Two dogs play on the beach ."
4368 "Two french poodles romp on a snowy field"
4369 "Two poodles are in the snow and one is jumping high"
4370 "A group of friends ride the current in a raft ."
4371 "A group of people river rafting ."
4372 "A group of people wearing life jackets riding a raft through rough waters ."
4373 "a large group of people in a red raft wearing red life jackets on the river"
4374 "this group of people are practicing water safety by wearing preservers while in a raft on the river"
4375 "A hiker standing on a bluff high in the mountains ."
4376 "A man feels on top of the world on top of a large rock formation ."
4377 "A man stands at the top of a mountain with his hands in the air ."
4378 "A man with his arms raised at the top of a mountain ."
4379 "A person in a red shirt is standing , with arms raised , at the top of a mountain ."
4380 "A child plays a red toy guitar and sings into multicolored plastic microphone ."
4381 "A little boy is playing with a toy guitar and microphone ."
4382 "A little boy plays a toy guitar while singing into a toy microphone ."
4383 "A little boy with toy microphone and guitar pretends to play music ."
4384 "The child has a small red guitar and toy microphone ."
4385 "A man paddling in water ."
4386 "A person paddles a boat on a lake ."
4387 "Beautiful scenery with a boat on the lake ."
4388 "Person canoes in lake ."
4389 "The person is in a conoe and holding a paddle in front of some mountains ."
4390 "A paraglider soars near a cliff and over a body of water ."
4391 "A person parachuting over the ocean"
4392 "A purple paraglider flying over the ocean near a cliff ."
4393 "Someone with a purple parachute has jumped off a cliff ."
4394 "The purple parachutes floats off the cliff toward the grey ocean below ."
4395 "A person in a field walks toward their white and orange parachute while another holds it ."
4396 "People collecting a parachute after landing on the ground ."
4397 "The parachutist is standing in a field near to his unfurled parachute ."
4398 "Two people fold a parachute after they have landed in a field ."
4399 "Two people on a grassy plain are gathering a parachute that one of the people just used ."
4400 "a man parachutes into the desert ."
4401 "A parachute over some sand ."
4402 "A parachutist lands ."
4403 "A person is hang gliding over a sandy area ."
4404 "The parachutist has a bird flying along with him ."
4405 "Brown dog barks at another brown dog with a stuffed duck in mouth ."
4406 "Two bird dogs competing for the kill ."
4407 "two brown dogs play ."
4408 "Two dogs running together and one has a duck toy in its mouth ."
4409 "Two Weirmeiner dogs in red collars are playing with a toy bird"
4410 "A girl in a flower dress is running on sand ."
4411 "A girl running with outstretched arms"
4412 "A little girl in a paisley dress runs across a sandy playground ."
4413 "A little girl is running ."
4414 "The yuong girl is standing on one leg ."
4415 "A black dog ."
4416 "A black dog lays in the grass and looks towards the camera ."
4417 "A black dog lays on a grassy lawn covered in leaves ."
4418 "A black puppy wearing black collar sits on the grass and leaves ."
4419 "Black dog lays on grass"
4420 "A baby crawls next to a street against a blue sky ."
4421 "A baby crawls on asphalt against a blue sky ."
4422 "A little Asian boy crawls along on asphalt ."
4423 "A little toddler in blue pants is crawling on the road ."
4424 "An Asian baby crawling on a road ."
4425 "A baby holds a game control above its head and laughs ."
4426 "a baby is holding a controller to a video game above his head ."
4427 "A little kid holds up a remote control in front of the television ."
4428 "A young boy is holding a PlayStation controller over his head ."
4429 "Baby sitting on floor and holding a game controller over its head ."
4430 "A man has fallen over on the street at night"
4431 "A man laying on the ground with a wet spot on his pants and a white and red hat ."
4432 "A man with a hat , and no shoes lays on the ground after he wets himself ."
4433 "a person lays down on the street with his shoes off ."
4434 "There is a man laying on the ground with a red and white hat on his head ."
4435 "A man and child stand at the bottom of an outdoor staircase near benches ."
4436 "A man and young boy are standing , looking at each other , in an outdoor garden area ."
4437 "A man in an ampitheater talking to a boy ."
4438 "A man talks to a boy in a vacant area ."
4439 "The man and the boy are standing at the bottom of the outdoor stairs ."
4440 "A boy hangs from a t-bar while a man gives him a push ."
4441 "A little boy being pushed by an older person on playground"
4442 "A little boy is going down a pulley swing ."
4443 "a man pushes a boy on a zip line ."
4444 "A smiling boy slides down a rope while hanging on ."
4445 "A black dog with brown markings wearing a red vest trots down a path ."
4446 "A brown and black dog is running along a grassy path wearing a red jacket ."
4447 "A dog with a reflective garmet running down a rural road"
4448 "Brown and black dog with red and white jacket run on road in rural area ."
4449 "Dog with a red cape running on a dirt road ."
4450 "a couple with a young child wrapped in a blanket sitting on a concrete step"
4451 "A woman and a man holding a child sit on steps ."
4452 "A young family sits on steps enjoying the day"
4453 "A young family sitting on stone steps ."
4454 "The man and woman are sitting on wooden steps holding a baby ."
4455 "Adults and children stand and play in front of steps near a wooded area ."
4456 "A family stands in a paved courtyard in an park in fall ."
4457 "A group of people stands talking to each other , while one girl in the group holds a bicycle ."
4458 "The adults and children are gathered near an outdoor seating arrangement ."
4459 "The girl with the red bike is wearing red pants ."
4460 "a brown and a black dog play in a field"
4461 "A brown dog and a black dog are together in tall grass ."
4462 "A brown dog and a black dog are together in the tall grass ."
4463 "Two dogs are standing in a very grassy area ."
4464 "Two dogs in a field looking at each other ."
4465 "A little girl in stripped tights lays on the laps of a little girl and boy ."
4466 "Three children and playing and laughing on the floor ."
4467 "Three children playing on the floor ."
4468 "Three children wrestle on a floral carpet ."
4469 "Three young kids are all tangled up together and playing on a big rug ."
4470 "A greyhound dog race is happening at the track ."
4471 "Three dogs racing on a dirt track"
4472 "three dogs run across the track ."
4473 "Three greyhound dogs race around a dark track ."
4474 "Three greyhounds reach the finish line ."
4475 "A group of people standing in front of a setting sun ."
4476 "Children in a field at dusk ."
4477 "Several people are standing near trees at dusk ."
4478 "The setting sun outlines a group of four people and the surrounding trees ."
4479 "The sun is setting behind a group of people ."
4480 "A boy without a shirt is running in the street while several people stand behind him ."
4481 "A little boy dances with a group of people behind him on a city street ."
4482 "A small boy dances on the concrete surrounded by adults ."
4483 "The little boy wearing no shirt is running by a crowd of people ."
4484 "The shirtless little boy is walking around adults ."
4485 "A girl is taking a picture of a girl and guy on a colorfully decorated pink bike ."
4486 "A girl sits on a decorated bike with a younger boy while another girl takes a picture ."
4487 "Two people on a bicycle are posing for a picture"
4488 "Two people ridding a colorfully decorated bicycle ."
4489 "Two people ride a colorful bike while a blond woman takes their picture ."
4490 "A man snowboarding down a mountain covered with snow ."
4491 "A skier rapidly descending a steep snow covered hill ."
4492 "A snowboarder coasting down the side of a snowy hill ."
4493 "Snowboarder going down a fresh hill ."
4494 "The sun is shining above the snow and trees ."
4495 "A person is walking on a sidewalk and a skeleton is on the left inside of a fence ."
4496 "A skeleton sits on a fence on the edge of a road ."
4497 "a skeleton sits on the bushes ."
4498 "A woman walks down a sidewalk past a Halloween decoration ."
4499 "There is a large skeleton behind a fence ."
4500 "A group of horses and people in front of a snowy mountain ."
4501 "The riders and horses are taking a break and resting on the mountain trail ."
4502 "Three men are standing around pack horses in front of a red tent up in the mountains ."
4503 "three riders stand around their horses in the mountains ."
4504 "Two men and some horses on a snowy mountain ."
4505 "A black and brown dog is biting on a stick in the forest ."
4506 "a brown dog chewing on a large piece of wood ."
4507 "A brown dog is chewing on a stick ."
4508 "A dark brown dog is chewing on a stick ."
4509 "The brown dog is playing with a stick ."
4510 "A black dog carrying a colorful ball swims ."
4511 "A black dog is retrieving a ball in water ."
4512 "A black dog is swimming with a ball in his mouth ."
4513 "A black dog swims in water with a colorful ball in his mouth ."
4514 "Black dog paddles through the water with a bright ball in its mouth ."
4515 "A brown dog is jumping up at another dog in front of the man in jeans ."
4516 "A tan dog is grappling another tan dog on gravel while someone stands narby ."
4517 "Two dogs engaged in physical contact with a man in the background ."
4518 "Two dogs play fighting on sand ."
4519 "Two dogs wrestle or hug ."
4520 "A hiker posing for a photo in an arid mountain landscape ."
4521 "A man in a green hat poses in the mountains"
4522 "A man in a green hat standing on a slope in front of a mountain ."
4523 "a man in camouflage hiking gear , wearing a green pouch is standing in the foothills ."
4524 "A person in hiking gear is standing on a hill with a mountain in the background ."
4525 "A boy gets flipped into the river by another boy ."
4526 "A group of children play in the water under a bridge ."
4527 "An airborne kid is watched by his launcher and others ."
4528 "Boys jump off a bridge into the water ."
4529 "Man in white shirt flipping young boy in the water with four other boys surrounding them ."
4530 "a little girl in a blue and pink leotard is walking along a beam whilst a person 's hand is stretched out to support her ."
4531 "A little girl in a blue and pink outfit is walking on a balance beam with the aid of woman standing to her left ."
4532 "A little girl walking down a balance beam with an adult ready to assist ."
4533 "A young girl is standing on a balance beam ."
4534 "A young girl practicing gymnastics on a balance beam ."
4535 "A barefoot young boy glances at the camera while swinging in a park ."
4536 "A boy swings high under blue sky ."
4537 "A boy wearing brown swings in a playground against a blue sky ."
4538 "A young sandy blonde boy is at a park swinging on the swings ."
4539 "Two children at the height of a swing ."
4540 "The men are climbing ."
4541 "Two men are lying in red cots on the side of a mountain ."
4542 "Two men are sleeping on makeshift beds on the side of a cliff ."
4543 "Two men in cots hanging from a cliff"
4544 "Two mountain climbers are smiling on the mountainside ."
4545 "A little girl in pajamas is jumping on the couch ."
4546 "A little girl is bouncing on a couch in front of a large bay window ."
4547 "A little girl jumping on a couch ."
4548 "A small girl is jumping on a sofa bed ."
4549 "A young girl jumps off of a couch and high into the air ."
4550 "A lady in a white hat and sunglasses riding a bicycle ."
4551 "A person biking down a city street in gloves and a warm hat ."
4552 "A person in winter gear is riding a bike near an intersection ."
4553 "A woman in a winter coat riding a bike down a city street ."
4554 "A woman wearing a white beanie is riding a bike down the street ."
4555 "A blurry picture of a woman riding a bike ."
4556 "A female with a black scarf and a helmet riding her bike ."
4557 "A woman rides her bike down the street in the fall ."
4558 "The girl is wearing a brown coat and helmet as she rides her bike ."
4559 "Woman rides bicycle in autumn wearing brown jacket"
4560 "A white dog wearing a christmas reindeer headband plays with a brown dog in the grass among some stuffed animals ."
4561 "A white dog wearing reindeer ears is next to a brown dog ."
4562 "A white dog with fake antlers on its head and a brown dog play together outdoors ."
4563 "The white dog next to the brown dog is wearing a christmas headband ."
4564 "Two dogs , one wearing christmas antlers , tussle on the grass ."
4565 "A man doing a back flip while another takes a picture ."
4566 "A person is taking a picture of another person doing a flip in midair in the grass ."
4567 "A young man takes a picture of his friend doing gymnastics in a field"
4568 "One man taking a photo of another man jumping in a field by a small tree ."
4569 "One person does a flip in the middle of the field while their friend takes a picture ."
4570 "Dogs in a race ."
4571 "Greyhound dogs wearing racing stripes are running out of a gate on a track ."
4572 "Greyhounds jumping out of the gate at a race ."
4573 "Racing greyhounds leave the starting gate ."
4574 "Three racing dogs are running out of the starting gate on a track ."
4575 "A brown dog running in a yard ."
4576 "A dog runs on the grass in a yard , a gazebo in the background ."
4577 "A dog trotting through someone 's yard ."
4578 "A large brown dog is running through a grassy backyard ."
4579 "Large brown dog runs through a large grassy area ."
4580 "A man in a black hoodie and jeans skateboards down a railing ."
4581 "A man skateboards down a steep railing next to some steps ."
4582 "a person is sliding down a brick rail on a snowboard ."
4583 "A person walks down the brick railing near a set of steps ."
4584 "A snowboarder rides down a handrail without snow ."
4585 "A bicyclist dressed in all black in traffic ."
4586 "A dark skinned man is cycling in a street full of traffic ."
4587 "A man in black is riding a bike in the parking lot ."
4588 "A man riding a bike near traffic ."
4589 "a man riding his bike in traffic"
4590 "A black dog grabs a bird in its mouth in the pool ."
4591 "A dog is jumping into a pool to get a duck floating there ."
4592 "A dog is jumping into a swimming pool after a duck ."
4593 "a dog jumps in the pool to get a chicken ."
4594 "The black dog is jumping into the pool to catch a rubber chicken in its mouth ."
4595 "A woman in a pink hat and a navy blue coat riding a bicycle ."
4596 "a woman wearing a pink cap riding a bicycle"
4597 "A woman wearing black clothes , a purple scarf , and a pink hat is riding a bike ."
4598 "a woman with glasses and a pink hat rides her bike ."
4599 "The woman is wearing a pink hat and is riding a bike in the park ."
4600 "A man in a white hat uses money to obscure the face of the baby in his baby carrier ."
4601 "A woman in a white hat holding money and her bags ."
4602 "A woman juggles her baby , purse , money and food from a market ."
4603 "A woman wearing a white hat and carrying a baby , a grocery bag , and a blue tote bag , sorts her money ."
4604 "A woman wearing a white hat is carrying a baby whilst shopping in a market for groceries ."
4605 "A girl who is surrounded by other people is taking a picture at a concert ."
4606 "A group of men and women are facing in the direction of something that is happening off camera ."
4607 "A group of people gathered at night watching an event ."
4608 "A group of people gathered for an event"
4609 "Several people are gathered and watching an event ."
4610 "A black and tan puppy is biting the ear of a brown dog ."
4611 "A black puppy chewing on a brown dog 's neck"
4612 "A black puppy chewing on an adult brown dog ."
4613 "A small puppy stands on his hind legs to bite a bigger dog who is lying on the stairs ."
4614 "The small brown dog is laying down while the black dog is biting it ."
4615 "A brown dog chasseing a white dog ."
4616 "A tan dog chases a white dog through the leafy grass"
4617 "A white dog is walking through the leafy grass while a brown dog is about to bite it ."
4618 "One white dog and one brown dog playing with a stick ."
4619 "Two little dogs run through the leaves ."
4620 "A man in a beret rides a bicycle down the street ."
4621 "A man wearing a beret rides his bicycle on a recreation trail ."
4622 "an old man , with a grey beard , riding his bike"
4623 "Closeup of a man cycling down a road lined with boulders ."
4624 "man wearing a beret riding a bicycle"
4625 "Three boys in sports casual clothing are posing in front of a blue building"
4626 "Three boys pose with their arms around each other ."
4627 "Three boys with arms around each other ."
4628 "Three young boys with their arms around eachothers shoulders ."
4629 "Two little boys with brown hair and one with blond hair ."
4630 "A person in a hang-glider ."
4631 "A person on a beach in a green hang glider ."
4632 "A small parasail ."
4633 "Hang glider on beach"
4634 "Two parasailors on one parasail landing on a sandy beach in front of a large rocky boulder and the water ."
4635 "A backpacker standing near water at dusk ."
4636 "A hiker is shadowed by the time of day near an open and tree-lined body of water ."
4637 "A hiker 's profile against a blue sky and mountain range ."
4638 "A hiker standing on the shore of a lake ."
4639 "A man with a hiking backpack on is standing in front of a lake with a forest in the background ."
4640 "A man casting a fishing pole ."
4641 "a man casting out a fishing line into a stream"
4642 "A man fishes ."
4643 "Man standing on edge of stream while casting his fishing line ."
4644 "Someone casts a fishing line into a body of water ."
4645 "A boy wearing a jean jacket with his hand on his chest smiling at the camera ."
4646 "a boy with a bruised nose and writing on his hands is standing in a video rental store ."
4647 "A boy with writing on his hand is standing in a store ."
4648 "A young man in a jean jacket smiles for the camera inside a store ."
4649 "A young man with a denim jacket and writing on his hand smiles in front of a bookcase full of videos ."
4650 "A hiker makes his way downhill ."
4651 "A man carying sticks descends a rocky hill ."
4652 "A man is hiking on a mountaintop on a cloudy day ."
4653 "Hiker walking along high rocks in front of a blue sky with puffy white clouds ."
4654 "The man in a blue sweater is climbing down the rocks"
4655 "boats out on the water on a foggyday"
4656 "A canoe in the distance on a lake as seen from another canoe ."
4657 "A view of a boat from another boat on the water ."
4658 "Looking over the prow of a boat at another boat on a foggy lake ."
4659 "One canoe heading for another on a foggy river bank ."
4660 "A man dressed in black and holding a package in his hands is walking on a sidewalk near a police sign asking for witnesses to a road dealth to step forward ."
4661 "a man in black walking past a red and yellow signpost whilst eating ."
4662 "A man is eating and walking past a yellow and red sign ."
4663 "A man is eating something and walking down a sidewalk past a big red and yellow sign ."
4664 "A sign asking for help with a man walking by eating ."
4665 "Two ladies walking on the sidewalk talking to each other ."
4666 "Two women are bundled up walking through town ."
4667 "Two women crossing the street on a cold day"
4668 "Two women walking down the street ."
4669 "Two women walking near some trees in warm , dark-colored garments , one with a hat , one with an upraised collar ."
4670 "A boy sits in the library , reading a book ."
4671 "A young boy sits in a chair in a bookstore reading a book ."
4672 "A young boy takes time to read during his trip to the bookstore ."
4673 "The boy in glasses is reading ."
4674 "The boy with glasses is sitting and reading a book ."
4675 "A brown and white dog holds a tennis ball in his mouth ."
4676 "A dog has a tennis ball in its mouth ."
4677 "A golden-colored dog , with his eyes alert , holds a brightly colored tennis ball in his mouth ."
4678 "A tan dog is playing with the green ball ."
4679 "Dog running with a tennis ball in its mouth"
4680 "A group of people in protective gear ."
4681 "A man looking down wearing racing clothes with a motorcycle to the right ."
4682 "A man stands outside ."
4683 "A man wearing dirt bike clothes , with a logo in close-up ."
4684 "A person in bike riding gear standing with mountains in the background ."
4685 "A Dalmatian dog running downhill through leaves in a wooded area ."
4686 "A dalmatian runs through the woods ."
4687 "A dog runs in the woods ."
4688 "A dog runs through a very wooded area ."
4689 "The Dalmation is running through the woods ."
4690 "A brown dog is running away from his owner ."
4691 "A brown dog with a lease is running with a person behind the dog ."
4692 "A man is walking behind a dog that is standing on its hind legs ."
4693 "A tan dog on a leash stands on his hind legs ."
4694 "Dog on leash running from man"
4695 "Three children are jumping into the air into a swimming pool at a resort ."
4696 "Three children are jumping into the water under a palm tree ."
4697 "Three children jumping into a pool ."
4698 "Three children jumping into a pool with a palm tree in the middle ."
4699 "Three children jump into a hotel pool from an artificial island ."
4700 "A guy with a scarf and woven toboggan ."
4701 "A man in black and white cap and scarf ."
4702 "A man wearing a scarf and knitted hat is smiling ."
4703 "A person wearing a hat and scarf looks to the right ."
4704 "The man has a poof on top of his woolen hat ."
4705 "The backs of two girls dressed identically in black shirts and black and red plants as they climb on a fence ."
4706 "Two children in identical outfits hang on a chain link fence ."
4707 "Two girls wearing red pants , black pants , and sandals are climbing a chain link fence ."
4708 "Two identically dressed girls climbing a fence"
4709 "Two young girls in matching outfits standing on a chain link fence ."
4710 "A boy in grey pajamas is jumping on the couch ."
4711 "A boy in pajama pants jumps on a red couch ."
4712 "A boy smiles at the camera and jumps in the air over the couch ."
4713 "a shirtless boy jumps onto the couch ."
4714 "The boy in pajama pants jumps off the sofa ."
4715 "A black and brown dog is playing on the ice at the edge of a lake ."
4716 "A black dog is breaking ice at the edge of a stream ."
4717 "A black dog is stepping on the ice ."
4718 "A black dog plays with a bit of ice by the frozen river ."
4719 "A dog stands on the edge of an icy body of water ."
4720 "an elderly woman is riding a bicycle in the city as a yellow taxi is about to pass by ."
4721 "An elderly woman rides a bicycle along a city street ."
4722 "An older woman with blond hair rides a bicycle down the street ."
4723 "A woman in a grey overcoat rides her bicycle along a street ."
4724 "Older woman wearing glassses riding a bicycle with a shopping bag on the handle , yellow car is in the background ."
4725 "a man in the snow wearing a furry hat and a black jacket with a red scarf"
4726 "A man wearing a hat in a snowstorm ."
4727 "A man with a goatee wears a fur hat in the snow ."
4728 "Man in furry hat stands in snow"
4729 "The man is wearing a scarf , jacket , and a furry hat on a snowy day ."
4730 "A black and white dog is jumping in the grass ."
4731 "A black and white dog is running with a muzzle ."
4732 "A black and white dog wearing a face mask runs through a field ."
4733 "A black and white dog with a mask on its face is running in a field ."
4734 "The black and white muzzled dog is leaping above the grass ."
4735 "A black and white dog runs beside a brown dog in a green field ."
4736 "The black and white dog along with the brown dog are galloping outside"
4737 "Two dogs race through a field ."
4738 "Two dogs run across the grassy field ."
4739 "Two dogs running fast in the grass ."
4740 "A person in a blue jacket , wearing a bicycle helmet is riding a bike"
4741 "A woman is riding her bicycle ."
4742 "A woman riding a bike in a park"
4743 "A woman with a blue jacket wears a helmet as she rides a bike ."
4744 "A woman with a helmet riding a bike ."
4745 "A small boy standing near muddy water with something in his hand while someone beside him washes clothing in buckets ."
4746 "A young black child stands on the edge of a body of water near buckets ."
4747 "A young boy stands near the water in a muddy river ."
4748 "Child standing by a rivers edge with laundry in buckets next to them ."
4749 "On shore near brown water , boy holds object beside buckets of rags ."
4750 "A boy high in the air above the dirt and water near the red rock cliffs ."
4751 "A medium sized child jumps off of a dusty bank over a creek ."
4752 "a young person wearing a grey shirt and yellow shorts jumping into a river ."
4753 "Person in yellow shorts , grey shirt with logo jumping from bank into the water ."
4754 "The boy in yellow shorts leaps from river bank towards the river ."
4755 "A dog in the snow ."
4756 "A dog laying in the snow ."
4757 "A dog lays on the snow ."
4758 "A golden dog plays in the snow"
4759 "A red dog crouches in the snow ."
4760 "A child in a bright red jacket runs through a pile of hay ."
4761 "A little girl in a red sweater and blue skirt is in the hay ."
4762 "A young child dances on a straw surface ."
4763 "The boy is running through hay at a pumpkin patch ."
4764 "The child is walking through straw ."
4765 "A boy holding kitchen utensils and making a threatening face"
4766 "A boy is pulling a wild face whilst waving cooking implements in his hands ."
4767 "a girl in a tan shirt holding up a fork and knife in one hand and a pot in the other"
4768 "A person with cooking utilities poses menacingly in a dark environment ."
4769 "A woman with a knife and fork grimmaces ."
4770 "Two girls bundled up in winter coats pose for a picture ."
4771 "Two girls holding drinks and looking at something on a cellphone ."
4772 "Two teen girls are looking at a small electronic device while wearing winter coats ."
4773 "Two women dressed for cold weather in jackets and gloves look at something on a cellphone screen ."
4774 "Two young girls huddle to look at a cellphone ."
4775 "A girl in a white coat takes pictures ."
4776 "A girl in a white puffy jacket takes a picture ."
4777 "a group of people looking into their cameras"
4778 "Asian woman in white coat takes photo ."
4779 "The woman in the white coat is holding a camera in her hand ."
4780 "A kayaker falling down a waterfall"
4781 "A man is kayaking down a waterfall ."
4782 "A man on a kayak coming down a raging waterfall"
4783 "A person is on a small boat and going down some very strong water currents ."
4784 "White water rafter goes through a rough spot ."
4785 "A man in a yellow boat paddling down rough waters ."
4786 "A rafter in a yellow raft in a steamy white river ."
4787 "A yellow kayak is descending quickly down a white water rapid ."
4788 "Kayacker riding rough current downstream ."
4789 "The yellow kayak is in the middle of the rapids ."
4790 "A girl in a purple dress smiling as she climbs an indoor rock wall ."
4791 "A girl is in a dress ."
4792 "A little girl wearing a purple dress looks down at the camera ."
4793 "a young girl climbs a rock wall , in a purple dress ."
4794 "A young girl wears a purple dress ."
4795 "A Mani is kayaking down some calmer rapids ."
4796 "A man in a small kayak is floating down the river ."
4797 "A man in a yellow jacket is floating on the river in a green kayak ."
4798 "A man smiles in his blue and green kayak ."
4799 "A man wearing a helmet in a Pyranha kayak floats down some river rapids ."
4800 "A blonde dog is digging a deep hole in the ground and its tail is up in the air ."
4801 "A dog half way in a hole in the ground ."
4802 "A dog is digging a large hole in a yard to find something ."
4803 "A dog is digging in the ground and half of his body is under the ground ."
4804 "The rear end of an animal whose front end is underground ."
4805 "A person dressed up as a snowman is walking through a crowd of people ."
4806 "five cold people in the snowstorm , one wearing a snowman head"
4807 "People pose for a picture in the snow"
4808 "Three young people pose by a snowman in a red tie ."
4809 "Two couples pose with a snowman ."
4810 "A broken down hummer gets towed on a truck bed ."
4811 "A damaged vehicle is carried by a repair truck in a night-time scene ."
4812 "A flat bed truck in a parking lot with an army vehicle on its bed ."
4813 "An old , beat-up jeep being towed away ."
4814 "Dirty SUV sits on the bed of a tow truck at night ."
4815 "The girl in the white shirt has a bracelet on and has her arm around the girl in the peach shirt ."
4816 "The two girls laid on the grass together ."
4817 "Two little girls are laying on the grass smiling ."
4818 "two young girls holding each other on the grassy ground"
4819 "two young girls hug each other in the grass ."
4820 "A large man is wearing a headband with mistletoe attached to it ."
4821 "A man in a sweatshirt and cap wears a flower on his head ."
4822 "A man wearing a black knit cap with a red and white striped headband with a flower on top ."
4823 "An man with a black ski cap and a red and white headband looks into the distance ."
4824 "Man wearing a black hat with a christmas theme ."
4825 "A dog running with a newspaper in its mouth ."
4826 "A dog runs down the street , carrying a newspaper ."
4827 "A dog with a newspaper in his mouth runs down a paved path ."
4828 "A fluffy , tri-colored dog is running down the road with a paper in its mouth ."
4829 "An Australian shepherd dog carrying a newspaper in his mouth ."
4830 "three black dogs are swimming through some murky brown water , one with a yellow object in its mouth ."
4831 "three black dogs swimming in dirty water"
4832 "Three dark dogs swimming and one of them has a ball ."
4833 "Three dogs are up to their necks in water ."
4834 "Three dogs swim in the water ."
4835 "A girl in a hooded jacket presents a cake with candles ."
4836 "A girl in a hood jacket holds a birthday cake with many candles ."
4837 "A girl in a winter coat with a birthday cake ."
4838 "A girl is holding a birthday cake ."
4839 "A young girl holding a cake with candles dressed in a heavy coat ."
4840 "A brown dog is walking in the water ."
4841 "A brown dog takes cautious steps in the calm waters with a sandy bottom ."
4842 "A brown dog wades in the water ."
4843 "A dog with red fur stands in a body of water ."
4844 "A large , golden colored dog is walking through water ."
4845 "A hiker with two hiking poles stands on a hillside with a view of the city below him ."
4846 "A hiker with two sticks is a standing on a path that is high up on a hill ."
4847 "A hiking man stands on a cliff overlooking a city ."
4848 "A man hikes on a dirt path high above a city ."
4849 "A person holding poles is standing on a rock ledge with bushes on each side overlooking mountains ."
4850 "A hiker is ready to take on a rugged outdoor trail ."
4851 "a lone hiker on a dirt hiking trail with a hat and sunglasses on with trees in the background"
4852 "A man in shorts is hiking in a dry region ."
4853 "A man stops for a picture with the scenery during his hike ."
4854 "The man is posing for a picture in the desert wearing a green shirt and hat , and holding a metal detector ."
4855 "A man in a hat with long sleeves and long pants stands overlooking a city ."
4856 "A man stands on a cliff overlooking a city ."
4857 "A man with a backpack and hat is standing by a high cliff where you can see for miles ."
4858 "Hiker standing on top of a rock overlooking a town ."
4859 "The man wearing a backpack and a hat , stands on a ledge overlooking a city ."
4860 "A woman , a little boy , and a tiny baby are standing in front of a cow statue ."
4861 "a woman and two small children posing in front of a large cow statue ."
4862 "A woman gives a baby to a small child to hold as they stand in front of a cow statue ."
4863 "A woman stands with two children near a decorated bull statue ."
4864 "The woman and children are standing next to a statue of a cow ."
4865 "A man in a green hat is someplace up high ."
4866 "A man in a green hat is taking a self portrait ."
4867 "A man in a hat at a scenic overlook ."
4868 "a man wearing a green canvas hat with a distnat city in the background"
4869 "Man with green hate and sunglasses on a high up peak"
4870 "A woman and man in winter gear stand ."
4871 "Three adults wearing cold weather gear ."
4872 "Two people are wearing heavy clothing ."
4873 "Two people in winter clothing ."
4874 "two women bundled up on a snowy day"
4875 "A boy wearing black walks down the street with his hands in fists ."
4876 "A teenage boy dressed in black stands on a snowy street ."
4877 "A teenage boy wearing all black tries to look tough with cheap jewelry on ."
4878 "A young man wearing a black hat and jacket is walking outside ."
4879 "Punk rock teenager walks with a mean look on his face ."
4880 "the boy laying face down on a skateboard is being pushed along the ground by another boy ."
4881 "Two girls play on a skateboard in a courtyard ."
4882 "Two people play on a long skateboard ."
4883 "Two small children in red shirts playing on a skateboard ."
4884 "two young children on a skateboard going across a sidewalk"
4885 "Dogs walking in the grassy field ."
4886 "Large fluffy grey dog standing in grass in front of a brown dog ."
4887 "one dog standing in some grass with his tongue hanging out and a tan dog in the background"
4888 "Two dogs of different breeds are standing in a pasture ."
4889 "Two dogs stand in the grass ."
4890 "A black dog bounds across the sand ."
4891 "A dog walking across the desert ."
4892 "A short black dog is walking over a barren landscape ."
4893 "A small black dog running across the sand ."
4894 "A small black dog walks in the sand ."
4895 "A female wearing pink gloves and a brown jacket is smiling in the snow ."
4896 "A woman standing in the snow with people in the background ."
4897 "A young woman in a spring coat and purple gloves stands in falling snow ."
4898 "A young woman looks happy in winter clothes while it snows ."
4899 "Young asian woman with pink gloves stands in the snow ."
4900 "A boy in african clothing runs across a concrete wall ."
4901 "A little boy with a green shirt is running on a rock ledge ."
4902 "An African boy in large green shirt is running barefoot along a wall ."
4903 "A young boy dressed in green running along a smooth , stone wall near a wooded area ."
4904 "Boy in green tunic on rock wall ."
4905 "A long haired man walking away beside a canal whist holding onto a railing ."
4906 "A man walks down a path next to a waterway ."
4907 "A person walks by some blue-green water while holding a rail ."
4908 "a person with a long ponytail walks along a waterway under a tunnel"
4909 "The man with long hair is walking along a storm drain ."
4910 "A man lies on a street with his head and shoulders under a parked car that is jacked up ."
4911 "A man looks under a car on a wet street ."
4912 "A man works on a car ."
4913 "A person lies half under a car , face-down ."
4914 "A person underneath a car with a jack ."
4915 "A dog places his head on a man 's face ."
4916 "A dog snuggles with a man in sunglasses ."
4917 "A dog with a blue collar is licking a man who 's wearing large tinted sunglasses ."
4918 "A large brown dog with a blue collar is resting his chin on a man 's face ."
4919 "An orange dog is licking a man wearing red sunglasses ."
4920 "A girl holding a crocodile 's mouth closed"
